,Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,Time Spent Per Page,Session Duration Per Visit,Traffic Source Code,Session Length to Page Views Ratio,Frequent Visitor,First-time User,High Converting User
0,5,11.051381236591851,0.230651936613825,Organic,3.890460070474997,3,1.0,0.7780920140949994,2.762845309147963,4.0,2.21027624731837,False,False,True
1,4,3.429315699032408,0.3910013338541704,Social,8.478174486998954,0,1.0,2.1195436217497385,3.429315699032408,,0.857328924758102,False,True,True
2,4,1.621052045863385,0.3979861064942929,Organic,9.636169627400935,2,1.0,2.409042406850234,0.5403506819544617,4.0,0.40526301146584626,False,False,True
3,5,3.6292789551861424,0.180457684705222,Organic,2.071924676446509,3,1.0,0.4143849352893018,0.9073197387965356,4.0,0.7258557910372285,False,False,True
4,5,4.235843279057931,0.2915408735093031,Paid,1.9606538296835625,5,1.0,0.3921307659367125,0.7059738798429884,,0.8471686558115861,True,False,True
5,3,4.541867820189699,0.4207400490026312,Social,3.438711547796116,2,1.0,1.1462371825987054,1.513955940063233,,1.513955940063233,False,False,True
6,5,1.9495580162309407,0.0349781570158815,Social,2.1192714722548773,1,1.0,0.42385429445097544,0.9747790081154704,,0.3899116032461881,False,False,True
7,4,1.6857397554121445,0.2523427595625629,Paid,3.4780157014833533,5,1.0,0.8695039253708383,0.2809566259020241,,0.4214349388530361,True,False,True
8,6,0.0332680331834028,0.120702770574107,Organic,5.285519080243383,1,1.0,0.8809198467072306,0.0166340165917014,4.0,0.0055446721972338,False,False,True
9,7,7.833741754811087,0.2127268859236291,Paid,4.060115222739396,5,1.0,0.5800164603913424,1.3056236258018479,,1.1191059649730124,True,False,True
10,2,2.773784434424699,0.4857678223385693,Direct,2.9736527872816234,3,1.0,1.4868263936408117,0.6934461086061747,1.0,1.3868922172123495,False,False,True
11,5,0.6812812938933654,0.4538905515767142,Referral,1.4990085570331235,0,1.0,0.2998017114066247,0.6812812938933654,2.0,0.1362562587786731,False,True,True
12,5,7.562350901457057,0.2635519765790136,Social,9.68859191827762,0,1.0,1.937718383655524,7.562350901457057,,1.5124701802914113,False,True,True
13,6,7.392909562806381,0.2633359443463259,Paid,4.981015475004269,2,1.0,0.8301692458340448,2.464303187602127,,1.2321515938010634,False,False,True
14,4,13.58023186909955,0.3205880939741078,Paid,5.802188906041352,3,1.0,1.450547226510338,3.3950579672748873,,3.3950579672748873,False,False,True
15,6,6.215767159872134,0.2966410058170743,Paid,10.028903177808292,2,1.0,1.6714838629680486,2.0719223866240446,,1.0359611933120223,False,False,True
16,6,18.336679603402363,0.3376945510103158,Referral,2.984756677500051,0,1.0,0.49745944625000854,18.336679603402363,2.0,3.056113267233727,False,True,True
17,1,0.8418659136590263,0.2493163814079028,Social,8.303624479819767,1,1.0,8.303624479819767,0.42093295682951315,,0.8418659136590263,False,False,True
18,7,5.540223444247188,0.2566845470224227,Paid,8.79349224549781,3,1.0,1.2562131779282584,1.385055861061797,,0.7914604920353125,False,False,True
19,2,5.19529648769634,0.1729777360004424,Paid,2.88998002366816,2,1.0,1.44499001183408,1.73176549589878,,2.59764824384817,False,False,True
20,11,0.7877602686116874,0.2516407259960402,Organic,11.69293806671197,5,1.0,1.0629943697010882,0.13129337810194788,4.0,0.07161456987378977,True,False,True
21,4,0.3108778925904152,0.6443099889585625,Organic,4.164912574168854,4,1.0,1.0412281435422135,0.062175578518083044,4.0,0.0777194731476038,True,False,True
22,3,11.650381526779784,0.2873295684888015,Direct,6.025224138779933,1,1.0,2.008408046259978,5.825190763389892,1.0,3.8834605089265946,False,False,True
23,8,1.0530353932538,0.1835897156595087,Organic,3.727506649888684,2,1.0,0.4659383312360855,0.3510117977512666,4.0,0.131629424156725,False,False,True
24,3,6.141313177985501,0.0931458395300509,Social,5.083885619406432,2,1.0,1.6946285398021441,2.0471043926618337,,2.0471043926618337,False,False,True
